,Q1. To Save data to database you use,Server Side Scripting,Client Side Scripting,HTML,CSS,A,A. Server Side Scripting
,Q2. HTML pages renders Static pages only,TRUE,FALSE,,,A,A. TRUE
,Q3. JSP is, Server Side Programming Language,Client Side Programming Language,Similar to Javascript,Javascript Page,A,A. Server Side Programming Language
,Q4. Which are all data transfer format ?,XML,JSON,Javascript,CSS,AB,A. XML and B. JSON
,Q5. SQL Stands for,Sequential Query Language,Structured Query Language,Simple Query Language,Super Query Language,B,B. Structured Query Language
,Q6. In a SQL Database data is stored in _________ & ________,Rows & Columns,Rows & Files,Fields & Keys,Keys & Value,A,A. Rows & Columns
,Q7. CMS Stands for,Code Management System,Content Management System,Control Management System,CSS Management System,B,B. Content Management System
,Q8. Which is a CDN (Select all that apply),Akamai,Cloud Front,Apache,MySQL,AB,A. Akamai and B. Cloud Front
,Q9. Which companies offer Cloud Services ? (select all that apply),Google,Amazon,Microsoft,Facebook,ABC,A. Google B.Amazon and C.Microsoft
,Q10. GIT is a,Version Control System,Website,Server Side Scripting Language,Data Transfer Protocol,A,A. Version Control System
